Language,Language (local),Wiki,Articles,All pages,Edits,Admins,Users,Active users,Files,Depth
Frafra,farefare,gur,1333,2528,20939,1,2003,24,0,6
Church Slavic,?????????? / ??????????,cu,1312,5887,86583,1,28455,26,0,178
Mossi,moore,mos,1305,2089,31445,0,1293,16,0,5
Batak Toba,Batak Toba,bbc,1277,2352,14611,2,2151,18,0,4
Ewe,e?egbe,ee,1268,4252,59629,2,16602,16,0,77
Lak,?????,lbe,1251,16232,54091,2,9477,16,0,477
Tahitian,reo tahiti,ty,1250,3077,54010,1,8471,12,0,37
Kusaal,K?saal,kus,1229,1820,14303,0,970,18,0,1
Taroko,Seediq,trv,1201,2210,104053,1,2777,17,0,33
Samoan,Gagana Samoa,sm,1198,6171,47630,1,11854,22,0,132
Sylheti,?????,syl,1195,6212,29256,1,1345,16,0,83
Batak Mandailing,Batak Mandailing,btm,1193,2681,11977,1,1298,20,0,6
Amis,Pangcah,ami,1145,2253,47779,1,3356,18,0,19
Swati,SiSwati,ss,1134,3486,42261,3,10041,22,0,52
Sranan Tongo,Sranantongo,srn,1128,2730,40007,1,8764,12,0,29
Latgalian,latga?u,ltg,1112,3409,37114,1,8488,16,0,46
Southern Altai,????? ???,alt,1102,7012,48182,2,4211,12,0,197
Nyanja,Chi-Chewa,ny,1099,5418,48258,2,12293,22,0,137
Arakanese,??????,rki,1082,3228,16279,2,724,35,0,19
Guianan Creole,kriyòl gwiyannen,gcr,1075,2670,17600,1,4121,12,0,14
Cherokee,???,chr,1004,4067,51112,1,29975,26,0,116
Pannonian Rusyn,?????,rsk,992,2212,13502,1,1649,24,0,9
Gothic,????????????,got,979,3951,48398,2,22217,25,0,112
Tsonga,Xitsonga,ts,958,4258,39756,2,12190,28,0,110
Igala,Igala,igl,949,1349,32889,0,1186,13,0,4
Bambara,bamanankan,bm,921,3338,41868,1,12388,18,0,86
Venda,Tshivenda,ve,822,2418,21232,1,9148,13,0,33
Vlax Romani,romani ?hib,rmy,756,2841,57062,1,19202,16,0,152
Cheyenne,Tsetsêhestâhese,chy,720,2279,25385,1,13561,19,0,52
Rundi,ikirundi,rn,703,2728,26820,1,11096,13,0,81
Wayuu,wayuunaiki,guc,687,1350,17742,2,2379,43,0,12
Inupiaq,Iñupiatun,ik,662,2872,40325,1,10043,13,0,156
Adyghe,????????,ady,620,4703,16423,1,9830,27,0,151
Chamorro,Chamoru,ch,558,2589,24481,1,17910,17,0,125
Nupe,Nupe,nup,536,1046,17615,3,827,20,0,15
Pontic,????????,pnt,489,2107,36254,1,12115,13,0,188
Tai Nuea,??? ??? ????,tdd,448,2193,7300,1,887,23,0,50
Obolo,Obolo,ann,433,893,4846,1,995,11,0,6
Inuktitut,?????? / inuktitut,iu,430,3020,48649,2,34215,38,0,584
Dzongkha,?????,dz,378,5499,38317,1,12744,26,0,1278
Paiwan,pinayuanan,pwn,376,634,13006,1,2455,10,0,9
Sango,Sängö,sg,370,2066,21567,1,7635,17,0,219
Dinka,Thu??jä?,din,339,1128,9022,1,7426,8,0,43
Tigrinya,????,ti,336,3032,25618,2,11002,17,0,543
Pali,????,pi,290,1827,102880,1,8237,12,1,1581
South Ndebele,isiNdebele seSewula,nr,275,857,5823,0,1168,23,0,30
West Coast Bajau,Bajau Sama,bdr,236,1321,5533,1,1211,14,0,88
Tigre,???,tig,41,483,6441,1,1123,16,0,1549
